algorithm,mrr,map,ndcg
B1,0.6915660630449363,0.551000404185113,0.814163195320198
CS-PLUS,0.6754862508383636,0.5152624930739409,0.8134876954206922
SC,0.7370026092628833,0.6235289739849618,0.8432621920335298
SC+SA,0.674027498323273,0.5270133901690388,0.8107159025404093
