3.0,SCSA,1368286394792046596,10.0,3.0
4.0,B1,1369343506939019269,1.0,5.0
4.0,B1,1369959855692337152,2.0,1.0
4.0,B1,1352325551621595136,3.0,2.0
4.0,B1,1369598009084887043,4.0,5.0
4.0,B1,1368835740529000449,5.0,5.0
4.0,B1,1369397597421645834,6.0,5.0
4.0,B1,1370128693662785544,7.0,5.0
4.0,B1,1369242094217404419,8.0,5.0
4.0,B1,1369453291936088064,9.0,4.0
4.0,B1,1369552733536219138,10.0,4.0
4.0,CS,1369113689845022721,1.0,2.0
4.0,CS,1369456737070313476,2.0,2.0
4.0,CS,1369525973302079490,3.0,4.0
4.0,CS,1369563595978252291,4.0,1.0
4.0,CS,1369337073463885828,5.0,4.0
4.0,CS,1369600439239458820,6.0,4.0
4.0,CS,1370053184589299724,7.0,2.0
4.0,CS,1369275546044162051,8.0,5.0
4.0,CS,1369049581208670208,9.0,4.0
4.0,CS,1369506070989836290,10.0,3.0
4.0,SC,1349380288783253504,1.0,2.0
4.0,SC,1349377838722519040,2.0,2.0
4.0,SC,1369375444793954323,3.0,5.0
4.0,SC,1362776603047165957,4.0,5.0
4.0,SC,1369441796925886465,5.0,3.0
4.0,SC,1369400194513723396,6.0,5.0
4.0,SC,1369048387815899139,7.0,5.0
4.0,SC,1369355243406954501,8.0,5.0
4.0,SC,1354011094751260673,9.0,4.0
4.0,SC,1353672852747284480,10.0,4.0
4.0,SCSA,1369458171467591683,1.0,4.0
4.0,SCSA,1369441382973272064,2.0,5.0
4.0,SCSA,1368622654870192131,3.0,5.0
4.0,SCSA,1352554075657801732,4.0,1.0
4.0,SCSA,1369226601972563972,5.0,5.0
4.0,SCSA,1364851499042537474,6.0,2.0
4.0,SCSA,1369438033892806663,7.0,5.0
4.0,SCSA,1369619124318580736,8.0,5.0
4.0,SCSA,1369495249417101312,9.0,3.0
4.0,SCSA,1352937076669476864,10.0,2.0
5.0,B1,1369343506939019269,1.0,3.0
5.0,B1,1368856158010810369,2.0,5.0
5.0,B1,1369590734672760836,3.0,5.0
5.0,B1,1369242094217404419,4.0,5.0
5.0,B1,1368975418741624833,5.0,5.0
5.0,B1,1369382939289587718,6.0,5.0
5.0,B1,1369517501248372738,7.0,5.0
5.0,B1,1369543002385956865,8.0,5.0
5.0,B1,1369612914982846469,9.0,5.0
5.0,B1,1369480643315462144,10.0,5.0
5.0,CS,1369351763355201542,1.0,4.0
5.0,CS,1370004858464534529,2.0,3.0
5.0,CS,1369468594891948038,3.0,3.0
5.0,CS,1369336610681159680,4.0,5.0
5.0,CS,1369503478880612357,5.0,5.0
5.0,CS,1369611245616250880,6.0,5.0
5.0,CS,1369430816389033988,7.0,5.0
5.0,CS,1368685627303223297,8.0,3.0
5.0,CS,1369377514930507782,9.0,5.0
5.0,CS,1369438777127624709,10.0,4.0
5.0,SC,1369375444793954323,1.0,5.0
5.0,SC,1362776603047165957,2.0,5.0
5.0,SC,1369441796925886465,3.0,5.0
5.0,SC,1369400194513723396,4.0,5.0
5.0,SC,1369048387815899139,5.0,4.0
5.0,SC,1369355243406954501,6.0,5.0
5.0,SC,1362074171832958980,7.0,3.0
5.0,SC,1369614175048249346,8.0,4.0
5.0,SC,1359577321695547392,9.0,1.0
5.0,SC,1362085735063572482,10.0,1.0
5.0,SCSA,1369292125641269258,1.0,3.0
5.0,SCSA,1369458171467591683,2.0,4.0
5.0,SCSA,1365007905318133766,3.0,2.0
5.0,SCSA,1361388306106318857,4.0,2.0
5.0,SCSA,1361701236395958278,5.0,2.0
5.0,SCSA,1366932843067277314,6.0,2.0
5.0,SCSA,1369030160943611907,7.0,3.0
5.0,SCSA,1366709656974942211,8.0,3.0
5.0,SCSA,1364579317964034050,9.0,3.0
5.0,SCSA,1369441382973272064,10.0,4.0
6.0,B1,1339526482142654466,1.0,4.0
6.0,B1,1326208392923410432,2.0,4.0
6.0,B1,1356659266732650498,3.0,3.0
6.0,B1,1357425371721965589,4.0,4.0
6.0,B1,1274054340517527552,5.0,3.0
6.0,B1,1362794394848538628,6.0,5.0
6.0,B1,1357736029067874305,7.0,3.0
6.0,B1,1367608643596783616,8.0,3.0
6.0,B1,1368667864803213318,9.0,4.0
6.0,B1,1368867018854830081,10.0,5.0
6.0,CS,1349775316366090242,1.0,2.0
6.0,CS,1219085119971000320,2.0,3.0
6.0,CS,1339894034781880323,3.0,5.0
6.0,CS,1368199950169997314,4.0,5.0
6.0,CS,1369559926629167104,5.0,5.0
6.0,CS,1204026434739691520,6.0,5.0
6.0,CS,1369586848163586051,7.0,2.0
6.0,CS,1369418972509179912,8.0,3.0
6.0,CS,1340053176150614025,9.0,4.0
6.0,CS,1197158580333535232,10.0,4.0
6.0,SC,1344689933978656771,1.0,4.0
6.0,SC,1369311531360518146,2.0,5.0
6.0,SC,1362083047785439239,3.0,4.0
6.0,SC,1337020338916499463,4.0,2.0
6.0,SC,1369405604595400711,5.0,5.0
6.0,SC,1331748997124534274,6.0,4.0
6.0,SC,1369298875719311360,7.0,5.0
6.0,SC,1355167587638906880,8.0,3.0
6.0,SC,1317842770816602114,9.0,5.0
6.0,SC,1294010972055592962,10.0,3.0
6.0,SCSA,1337022746824499203,1.0,2.0
6.0,SCSA,1353502767352926208,2.0,3.0
6.0,SCSA,1351920546011893761,3.0,2.0
6.0,SCSA,1365416645624143873,4.0,3.0
6.0,SCSA,1354118501653483523,5.0,5.0
6.0,SCSA,1337463904566456320,6.0,2.0
