algorithm,mrr,map,ndcg
B1,0.7480277185501065,0.6874436322520662,0.7581814177566419
B1-SCSA_PLUS,0.7621890547263681,0.676042888725652,0.7776563301330417
B1-SCSA_PLUS-SCSA_PLUS_V3,0.7619580668088131,0.6590110215969538,0.7669222141267723
B1-STATE_ART,0.7825870646766169,0.6920088165678374,0.7893296296960661
B1-STATE_ART-SCSA_PLUS_V3,0.7619580668088131,0.6590110215969538,0.7669222141267723
CS,0.7322316986496091,0.6559734207994604,0.7341463133697862
CS-SCSA_PLUS,0.6190653873489694,0.584315567124085,0.7018846774983699
CS-SCSA_PLUS-SCSA_PLUS_V3,0.7642146410803127,0.6381993703845649,0.7554061264821995
CS-STATE_ART,0.6239398246860933,0.591234068875333,0.7066272891415972
CS-STATE_ART-SCSA_PLUS_V3,0.7584103293058517,0.634408570026863,0.7510680154757173
SC,0.7923979591836735,0.7611239848667662,0.8001328215492179
SC-SCSA_PLUS,0.7742743764172335,0.7045686411297142,0.7949475478876672
SC-SCSA_PLUS-SCSA_PLUS_V3,0.7323526077097505,0.6674492362901527,0.7697094944910923
SC-STATE_ART,0.7857256235827664,0.7075155377980721,0.798427397164704
SC-STATE_ART-SCSA_PLUS_V3,0.7323526077097505,0.6657538194120876,0.7690092165332125
SCSA,0.7352345415778252,0.6770916749587127,0.7464239080904757
SCSA-SCSA_PLUS,0.7487917555081735,0.6565238676326034,0.7579484065880983
SCSA-SCSA_PLUS-SCSA_PLUS_V3,0.6658493248045486,0.5825215379579062,0.703828081866269
SCSA-STATE_ART,0.798542999289268,0.6754656155628657,0.776284873051348
SCSA-STATE_ART-SCSA_PLUS_V3,0.6506574271499646,0.5774347673341637,0.6992671230518268
SCSA_PLUS,0.7042857142857143,0.6318751358991085,0.7479695076680811
