algorithm_a,algorithm_b,metric,t_statistic,p_value,significant,n_pairs
B1,SCSA_PLUS,mrr,,,False,71
B1,SCSA_PLUS,map,1.4916327241070224,0.14028855111550903,False,71
B1,SCSA_PLUS,ndcg,0.492433533458272,0.6239538929894576,False,71
SCSA,SCSA_PLUS,mrr,,,False,71
SCSA,SCSA_PLUS,map,1.2654333858543099,0.209911991319085,False,71
SCSA,SCSA_PLUS,ndcg,0.18271258454274017,0.8555516877158463,False,71
B1-STATE_ART,B1-SCSA_PLUS,mrr,,,False,71
B1-STATE_ART,B1-SCSA_PLUS,map,1.804848395055619,0.07539935444250158,False,71
B1-STATE_ART,B1-SCSA_PLUS,ndcg,1.7096462359619486,0.09176109940178678,False,71
CS-STATE_ART,CS-SCSA_PLUS,mrr,,,False,71
CS-STATE_ART,CS-SCSA_PLUS,map,1.1065324413694477,0.27228437818733264,False,71
CS-STATE_ART,CS-SCSA_PLUS,ndcg,0.9226099990435644,0.35937966673252647,False,71
SC-STATE_ART,SC-SCSA_PLUS,mrr,,,False,73
SC-STATE_ART,SC-SCSA_PLUS,map,0.4591310394093843,0.6475232205960841,False,73
SC-STATE_ART,SC-SCSA_PLUS,ndcg,0.5689377936840504,0.5711688826123602,False,73
SCSA-STATE_ART,SCSA-SCSA_PLUS,mrr,,,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS,map,1.8131380674461457,0.07409764850835752,False,71
SCSA-STATE_ART,SCSA-SCSA_PLUS,ndcg,2.123984141319891,0.037206298334058675,True,71
