user_id,algorithm_orig,news_id,old_rank,rating,score_orig,algorithm_new,new_rank,score_new,algorithm,ranking_difference,base_algorithm
4,B1-STATE_ART,1369242094217404419,3,5,-0.15181601129939953,B1-STATE_ART-SCSA_PLUS_V3,4,-1.9465721637060882,B1-STATE_ART,-1,B1
4,B1-STATE_ART,1369959855692337152,4,1,-0.15853271486181122,B1-STATE_ART-SCSA_PLUS_V3,2,-0.7280709162363042,B1-STATE_ART,2,B1
4,B1-STATE_ART,1369552733536219138,5,4,-0.15934151108356437,B1-STATE_ART-SCSA_PLUS_V3,5,-1.9965297315609636,B1-STATE_ART,0,B1
4,B1-STATE_ART,1369453291936088064,6,4,-0.1593434213269606,B1-STATE_ART-SCSA_PLUS_V3,6,-2.082540293586643,B1-STATE_ART,0,B1
4,B1-STATE_ART,1370128693662785544,7,5,-0.1606918941059832,B1-STATE_ART-SCSA_PLUS_V3,7,-2.3396043173287446,B1-STATE_ART,0,B1
4,B1-STATE_ART,1369598009084887043,8,5,-0.1607815135910037,B1-STATE_ART-SCSA_PLUS_V3,8,-3.052758107235024,B1-STATE_ART,0,B1
4,B1-STATE_ART,1368835740529000449,9,5,-0.16166907853286147,B1-STATE_ART-SCSA_PLUS_V3,1,-0.6374802994299746,B1-STATE_ART,8,B1
4,B1-STATE_ART,1352325551621595136,10,2,-0.16248750793191596,B1-STATE_ART-SCSA_PLUS_V3,3,-1.094923362245103,B1-STATE_ART,7,B1
5,B1-STATE_ART,1369343506939019269,1,3,-0.07302206326800191,B1-STATE_ART-SCSA_PLUS_V3,9,-4.283547532878784,B1-STATE_ART,-8,B1
5,B1-STATE_ART,1368975418741624833,2,5,-0.13581837725909607,B1-STATE_ART-SCSA_PLUS_V3,7,-2.459467152350766,B1-STATE_ART,-5,B1
5,B1-STATE_ART,1369517501248372738,3,5,-0.14947284590793017,B1-STATE_ART-SCSA_PLUS_V3,4,-1.6535455202151172,B1-STATE_ART,-1,B1
5,B1-STATE_ART,1369242094217404419,4,5,-0.15181601129939953,B1-STATE_ART-SCSA_PLUS_V3,6,-1.9465721637060882,B1-STATE_ART,-2,B1
5,B1-STATE_ART,1369382939289587718,5,5,-0.1555352682154784,B1-STATE_ART-SCSA_PLUS_V3,10,-6.889418647693049,B1-STATE_ART,-5,B1
5,B1-STATE_ART,1369480643315462144,6,5,-0.1576521946261806,B1-STATE_ART-SCSA_PLUS_V3,5,-1.6798550721811467,B1-STATE_ART,1,B1
5,B1-STATE_ART,1368856158010810369,7,5,-0.15874261562935563,B1-STATE_ART-SCSA_PLUS_V3,3,-0.7599573760882662,B1-STATE_ART,4,B1
5,B1-STATE_ART,1369612914982846469,8,5,-0.16020493857435153,B1-STATE_ART-SCSA_PLUS_V3,2,-0.6527855396401135,B1-STATE_ART,6,B1
5,B1-STATE_ART,1369543002385956865,9,5,-0.160573594002984,B1-STATE_ART-SCSA_PLUS_V3,1,0.4424760533655573,B1-STATE_ART,8,B1
5,B1-STATE_ART,1369590734672760836,10,5,-0.16134942942099798,B1-STATE_ART-SCSA_PLUS_V3,8,-3.42032150714393,B1-STATE_ART,2,B1
6,B1-STATE_ART,1326208392923410432,1,4,0.2252833998316758,B1-STATE_ART-SCSA_PLUS_V3,9,-0.5375426037794763,B1-STATE_ART,-8,B1
6,B1-STATE_ART,1357736029067874305,2,3,0.19151417814258057,B1-STATE_ART-SCSA_PLUS_V3,3,1.6224573412989676,B1-STATE_ART,-1,B1
6,B1-STATE_ART,1362794394848538628,3,5,0.017803071725431573,B1-STATE_ART-SCSA_PLUS_V3,4,0.3931224445732534,B1-STATE_ART,-1,B1
6,B1-STATE_ART,1368867018854830081,4,5,-0.09980552801283729,B1-STATE_ART-SCSA_PLUS_V3,5,0.3544367551565172,B1-STATE_ART,-1,B1
6,B1-STATE_ART,1274054340517527552,5,3,-0.1585088872094345,B1-STATE_ART-SCSA_PLUS_V3,7,-0.2174226567457094,B1-STATE_ART,-2,B1
6,B1-STATE_ART,1368667864803213318,6,4,-0.15885931682302848,B1-STATE_ART-SCSA_PLUS_V3,10,-2.337192909877718,B1-STATE_ART,-4,B1
6,B1-STATE_ART,1367608643596783616,7,3,-0.16256763251410877,B1-STATE_ART-SCSA_PLUS_V3,8,-0.5043549666506609,B1-STATE_ART,-1,B1
6,B1-STATE_ART,1357425371721965589,8,4,-0.162611933359621,B1-STATE_ART-SCSA_PLUS_V3,6,0.1345663447806732,B1-STATE_ART,2,B1
6,B1-STATE_ART,1356659266732650498,9,3,-0.16269646615363442,B1-STATE_ART-SCSA_PLUS_V3,2,1.7366632911494624,B1-STATE_ART,7,B1
6,B1-STATE_ART,1339526482142654466,10,4,-0.1629841346258003,B1-STATE_ART-SCSA_PLUS_V3,1,1.8138716516757292,B1-STATE_ART,9,B1
7,B1-STATE_ART,1359820217090768896,1,4,-0.15492577179912964,B1-STATE_ART-SCSA_PLUS_V3,4,-0.661757889273262,B1-STATE_ART,-3,B1
7,B1-STATE_ART,1363849575279316998,2,4,-0.16114439006212528,B1-STATE_ART-SCSA_PLUS_V3,6,-1.1948558674723815,B1-STATE_ART,-4,B1
7,B1-STATE_ART,1369342862656221187,3,4,-0.1611559299035523,B1-STATE_ART-SCSA_PLUS_V3,8,-1.80324232296635,B1-STATE_ART,-5,B1
7,B1-STATE_ART,969126955193962496,4,3,-0.16157085780287345,B1-STATE_ART-SCSA_PLUS_V3,3,-0.558465938445157,B1-STATE_ART,1,B1
7,B1-STATE_ART,1365618942501285888,5,5,-0.16178333314006887,B1-STATE_ART-SCSA_PLUS_V3,7,-1.5784184860366126,B1-STATE_ART,-2,B1
7,B1-STATE_ART,1367244704526393349,6,2,-0.16194639485860637,B1-STATE_ART-SCSA_PLUS_V3,5,-0.7900124935647587,B1-STATE_ART,1,B1
7,B1-STATE_ART,1365376371376205838,7,4,-0.16199332833098584,B1-STATE_ART-SCSA_PLUS_V3,9,-1.826179664320411,B1-STATE_ART,-2,B1
7,B1-STATE_ART,1368969473651261440,8,3,-0.16207567598138886,B1-STATE_ART-SCSA_PLUS_V3,2,-0.4205881329053484,B1-STATE_ART,6,B1
7,B1-STATE_ART,1364974104491798530,9,4,-0.16210898244153016,B1-STATE_ART-SCSA_PLUS_V3,10,-2.0158543599750396,B1-STATE_ART,-1,B1
7,B1-STATE_ART,1368972324301602816,10,4,-0.1622193974961968,B1-STATE_ART-SCSA_PLUS_V3,1,0.47243253089558507,B1-STATE_ART,9,B1
8,B1-STATE_ART,1359964129532862464,1,4,6.315136326545075,B1-STATE_ART-SCSA_PLUS_V3,1,12.103313230688276,B1-STATE_ART,0,B1
8,B1-STATE_ART,1360637255132434433,2,4,4.655307840620487,B1-STATE_ART-SCSA_PLUS_V3,2,10.678791379554722,B1-STATE_ART,0,B1
8,B1-STATE_ART,1349748316901310464,3,5,4.314829829320331,B1-STATE_ART-SCSA_PLUS_V3,3,8.5365548680521,B1-STATE_ART,0,B1
