diversity_score,sentiment_score,scsa_plus_score,social_capital_v2,comments_count,recency_score_v3,quote_count,retweets_count,engagement_score,context_score_v3,likes_count,pca1_score
1.0,-0.7093682489146861,-0.15674526704353658,-0.34269196556841686,-0.14557085994390986,0.08931240579793615,-0.14324423453839819,-0.1443940943671251,-0.16876531051546895,0.38940554954653006,-0.1544636592433311,-0.444327417722004
-0.7093682489146861,1.0,0.09221025655882854,0.45982939183656335,0.10606789605761109,-0.10748744424061246,0.08373508732510691,0.07581705872054507,0.1025129431326987,-0.30228244254282555,0.09134948601337374,0.3464188358643047
-0.15674526704353658,0.09221025655882854,1.0,0.4500112083138682,0.6423075960305179,-0.1285668573128288,0.6711135057685006,0.8569300419430981,0.9097570534729452,-0.01886478538505393,0.9975956164892886,0.6222842615947369
-0.34269196556841686,0.45982939183656335,0.4500112083138682,1.0,0.40019199148718926,-0.17158980267397567,0.49461943881531756,0.4787966902549644,0.5189320935968103,-0.18031643430341973,0.4334119387148758,0.5850831580226762
-0.14557085994390986,0.10606789605761109,0.6423075960305179,0.40019199148718926,1.0,-0.0793727123336354,0.7326646140206965,0.5052825771902115,0.8202533641708052,-0.03150542078445431,0.6183307323007788,0.5283551171552855
0.08931240579793615,-0.10748744424061246,-0.1285668573128288,-0.17158980267397567,-0.0793727123336354,1.0,-0.09876680080842724,-0.13128049727985666,-0.12636756243760056,0.048982486402769546,-0.1306158304592437,-0.2747376473638976
-0.14324423453839819,0.08373508732510691,0.6711135057685006,0.49461943881531756,0.7326646140206965,-0.09876680080842724,1.0,0.7431284505761061,0.8938475561522744,-0.015304504468454496,0.6367538058491677,0.5659297856636013
-0.1443940943671251,0.07581705872054507,0.8569300419430981,0.4787966902549644,0.5052825771902115,-0.13128049727985666,0.7431284505761061,1.0,0.8830862205912192,-0.0071375086588495494,0.8266628294215865,0.5859363178140652
-0.16876531051546895,0.1025129431326987,0.9097570534729452,0.5189320935968103,0.8202533641708052,-0.12636756243760056,0.8938475561522744,0.8830862205912192,1.0,-0.021119503700258366,0.8850026900278738,0.6575847282032543
0.38940554954653006,-0.30228244254282555,-0.01886478538505393,-0.18031643430341973,-0.03150542078445431,0.048982486402769546,-0.015304504468454496,-0.0071375086588495494,-0.021119503700258366,1.0,-0.019594687107826938,-0.16285568831063926
-0.1544636592433311,0.09134948601337374,0.9975956164892886,0.4334119387148758,0.6183307323007788,-0.1306158304592437,0.6367538058491677,0.8266628294215865,0.8850026900278738,-0.019594687107826938,1.0,0.6096136328992927
-0.444327417722004,0.3464188358643047,0.6222842615947369,0.5850831580226762,0.5283551171552855,-0.2747376473638976,0.5659297856636013,0.5859363178140652,0.6575847282032543,-0.16285568831063926,0.6096136328992927,1.0
