source_type,source_id,mentioned_user_id
news,1343240225129168898,985916593065476096
news,1189330936300756992,2557037323
news,1189330936300756992,15635604
news,1369483207935225856,905416143313219584
news,1369460811760988160,86141342
news,1369325020258983936,532406707
news,1336964656792035329,121258930
news,1336964656792035329,18334111
news,1336964656792035329,3065618342
news,1336964656792035329,36803580
news,1369441796925886465,26756955
news,1336810117057179649,38232487
news,1336810117057179649,1171755060
news,1336810117057179649,110616795
news,1365327872643260420,1236695563342659589
news,1365327872643260420,3152101881
news,1365327872643260420,1327811881143205888
news,1337077938076979205,31137807
news,1337077938076979205,1171755060
news,1337077938076979205,858646142
news,1354118501653483523,348224496
news,1354118501653483523,164596794
news,1354118501653483523,1001950930697240576
news,1354118501653483523,245229537
news,1354118501653483523,40342628
news,1354118501653483523,262388975
news,1354118501653483523,326020899
news,1354118501653483523,87239242
news,1354118501653483523,894130670603309056
news,1369383214062665731,1360998579234570249
news,1336793663792406530,2785993288
news,1336793663792406530,1171755060
news,1369386818169372680,561659754
news,1369372321736232963,407337082
news,1363551492486008834,2916921081
news,1363551492486008834,240695163
news,1363551492486008834,2892152997
news,1363551492486008834,1170868047474831360
news,1363551492486008834,960521571562598401
news,1369453291936088064,8036392
news,1369453291936088064,1171155332917321730
news,1369453291936088064,287724263
news,1369453291936088064,27242124
news,1369271770960850949,869308903
news,1362776603047165957,172724148
news,1362776603047165957,266908809
news,1362776603047165957,6269352
news,1362776603047165957,2464301418
news,1369048387815899139,23984477
news,1362074171832958980,39814938
news,1362074171832958980,1652035698
news,1362074171832958980,560350106
news,1362074171832958980,1343659229106876416
news,1362074171832958980,20847350
news,1362074171832958980,49153854
news,1359577321695547392,32817728
news,1359577321695547392,14593090
news,1362085735063572482,316756361
news,1362085735063572482,27445405
news,1369292125641269258,107136246
news,1369292125641269258,20374935
news,1369292125641269258,108957853
news,1369292125641269258,19939667
news,1365007905318133766,279321785
news,1365007905318133766,316756361
news,1365007905318133766,65414320
news,1361388306106318857,516464106
news,1361388306106318857,24871896
news,1361388306106318857,214413743
news,1361701236395958278,16143542
news,1361701236395958278,28297965
news,1366932843067277314,1258091656093417472
news,1366932843067277314,1638756846
news,1366932843067277314,1228176728
news,1366932843067277314,741696985
news,1366932843067277314,28665877
news,1369030160943611907,175580488
news,1369030160943611907,16402282
news,1369030160943611907,85375262
news,1366709656974942211,213969309
news,1366709656974942211,26235265
news,1364579317964034050,21302878
news,1364579317964034050,68674747
news,1369441382973272064,18170896
news,1369441382973272064,14529929
news,1369030162298400778,89090040
news,1366963364975452162,4273987822
news,1369048640111570951,76665437
news,1166395659500568579,76788525
news,1367559613005004800,16537989
news,1367559613005004800,1227725047369887744
news,1353812372331220992,19425947
news,1353812372331220992,728254626538082305
news,1321186362171666432,309366491
news,1323456695725625344,309366491
news,1153306430100910080,23119425
news,1153306430100910080,266837161
news,1324916905954652168,309366491
news,1368659881260032001,214362445
news,1318297870315839488,4096365088
news,1367300793485828097,33758417
news,1367300793485828097,1133136553
news,1367300793485828097,235213254
news,1367300793485828097,3350930423
news,1367300793485828097,2727707875
news,1367300793485828097,1119327458816348160
news,1367300793485828097,763109683238363136
news,1367300793485828097,133154993
news,1367300793485828097,21217034
news,1369075493753020420,36169080
news,1369075493753020420,478000821
news,1369075493753020420,916985559234502656
news,1369075493753020420,342327238
news,1369075493753020420,1093641243903459329
news,1369075493753020420,14982804
news,1369075493753020420,35990109
news,1369075493753020420,404158121
news,1369075493753020420,1058111600622735360
news,1369075493753020420,21334022
news,1369075493753020420,3223401234
news,1369075493753020420,265178794
news,1369075493753020420,822375565181132805
news,1369075493753020420,19543385
news,1369075493753020420,16196031
news,1369075561981566976,89503894
news,1369075561981566976,1881225786
news,1369075561981566976,2748245196
news,1369075561981566976,303757814
news,1369075561981566976,602252919
news,1369075561981566976,202151736
news,1369075561981566976,706835253009186816
news,1369075561981566976,31080039
news,1369075561981566976,37868953
news,1369075561981566976,271248939
news,1369075561981566976,957060706494369792
news,1369075561981566976,1569791546
news,1303249708169613313,19923144
news,1303249708169613313,182662505
news,1303249708169613313,23083404
news,1303249708169613313,442456291
news,1303249708169613313,18479513
news,1303249708169613313,241204643
news,1366443197166096385,23690344
news,1366443197166096385,18228898
news,1366443197166096385,216444984
news,1366443197166096385,56783491
news,1366443197166096385,14920785
news,1367237010608431106,1341069360249544704
news,1367237010608431106,2651482512
news,1367237010608431106,156038456
news,1367237010608431106,154280902
news,1367237010608431106,976604963743842304
news,1324374402750767104,845614875606953984
news,1324374402750767104,628327650
news,1324374402750767104,888862902614204416
news,1324374402750767104,1074519289
news,1324374402750767104,544902207
news,1367315410106736640,1171535373283016704
news,1367315410106736640,1573265498
news,1367315410106736640,2150327072
news,1368286394792046596,16892452
news,1368286394792046596,1273619850804551680
news,1368286394792046596,20108560
news,1368286394792046596,2150327072
news,1352325551621595136,1258100405915070465
news,1369275546044162051,250103509
news,1369275546044162051,1241813862170726400
news,1369049581208670208,271248939
news,1349380288783253504,279934920
news,1349380288783253504,921041952681885696
news,1349380288783253504,216299334
news,1349380288783253504,252569527
news,1349380288783253504,164690458
news,1349380288783253504,75282109
news,1349380288783253504,882920744317005825
news,1349380288783253504,26475485
news,1349380288783253504,1344387445350084608
news,1349377838722519040,279934920
news,1349377838722519040,921041952681885696
news,1349377838722519040,216299334
news,1349377838722519040,252569527
news,1349377838722519040,164690458
news,1349377838722519040,75282109
news,1349377838722519040,882920744317005825
news,1349377838722519040,26475485
news,1349377838722519040,1344387445350084608
news,1354011094751260673,746418888
news,1354011094751260673,961457448
news,1354011094751260673,51496169
news,1353672852747284480,961457448
news,1353672852747284480,51496169
news,1368622654870192131,426159377
news,1368622654870192131,12492842
news,1368622654870192131,33612317
news,1352554075657801732,1351189846820319232
news,1369226601972563972,426159377
news,1369226601972563972,12492842
news,1369226601972563972,33612317
news,1364851499042537474,615500723
news,1364851499042537474,719862259518992384
news,1369438033892806663,16132791
news,1369438033892806663,2578071749
news,1369619124318580736,16132791
news,1369619124318580736,2578071749
news,1369495249417101312,84801794
news,1369495249417101312,139847909
news,1352937076669476864,961457448
news,1352937076669476864,211681056
news,1369480643315462144,8036392
news,1369480643315462144,137223549
news,1369503478880612357,59130623
news,1339526482142654466,999720386014019584
news,1339526482142654466,791651689036075008
news,1356659266732650498,1171155332917321730
news,1357425371721965589,1171155332917321730
news,1357425371721965589,1682061769
news,1367608643596783616,1331024358656061442
news,1368867018854830081,83266010
news,1349775316366090242,24734713
news,1349775316366090242,925391732753223681
news,1349775316366090242,1116089461480153088
news,1349775316366090242,704881118000971777
news,1349775316366090242,57227772
news,1339894034781880323,1323604582543597571
news,1340053176150614025,853075242
news,1197158580333535232,728662277696552960
news,1369311531360518146,1581318708
news,1369405604595400711,16271952
news,1331748997124534274,80144576
news,1331748997124534274,1121571811915911171
news,1331748997124534274,788364008915083264
news,1369298875719311360,376502929
news,1369298875719311360,22532755
news,1369298875719311360,15140962
news,1369298875719311360,17136315
news,1369298875719311360,38985282
news,1369298875719311360,16271952
news,1369298875719311360,230287527
news,1369298875719311360,27384718
news,1369298875719311360,14445453
news,1355167587638906880,1227776432480407552
