news_id,author_id,social_capital_score,sentiment_enabled
1369343506939019269,759251,1266716.6216696273,False
1151160990995746816,180463340,9024725.962383991,False
1343240225129168898,1060978099146260480,810203.5130115121,False
1312476369830338561,1141417774201184257,167136.20024548486,False
1369271796499947520,759251,370613.78634864255,False
1281615412459782145,2412917082,31499.990209790212,False
1324784149241147394,1288485038,494154.6911502168,False
1338474408743215106,1288485038,3029238.626880898,False
1298591876963078146,1288485038,1911721.8668706964,False
1189330936300756992,180463340,29477472.148711894,False
1369281593693646851,1367531,27818.467741935485,False
1369388544003895298,5988062,17940.153488372092,False
1369253885932617735,1367531,57112.157258064515,False
1369010885075812352,1367531,162695.88709677418,False
1369523963974549504,87818409,8541.832727272727,False
1369483207935225856,14173315,7151.646447140381,False
1369439516679942144,87818409,8442.50909090909,False
1370144518100684802,28785486,82433.87396562699,False
1368604102989541376,1367531,44888.89112903226,False
1369460811760988160,28785486,22159.64353914704,False
1369325020258983936,24742040,508629.5605858854,False
1365315820080009221,821102114,916760.7492991405,False
1344689933978656771,1060978099146260480,258567.94305246527,False
1369375444793954323,807095,14018.506065857884,False
1317842770816602114,715177919438577664,682538.0556986117,False
1336964656792035329,821102114,1356492.80132359,False
1369441796925886465,807095,20608.402079722702,False
1336810117057179649,821102114,2867237.1601636102,False
1369400194513723396,807095,9106.038128249565,False
1365327872643260420,821102114,18418.096419872236,False
1364607745270423556,821102114,10810501.69364401,False
1337077938076979205,821102114,488079.5551266142,False
1354118501653483523,273181052,327.75700934579436,False
1369383214062665731,24742040,4936.06746560142,False
1336793663792406530,821102114,169906.93947332137,False
1369386818169372680,24742040,8155.241899689303,False
1339525827118194689,1038082275689340928,1235642.905753618,False
1369372321736232963,24742040,429.22325787838435,False
1367882927384768524,10671602,4101.5705430342505,False
1363551492486008834,15234657,634.7368421052631,False
1363564146948665347,34992644,329.99999999772524,False
1369498799673065473,2557521,9767.323696377363,False
1367766039254163458,368276033,281563.28013208584,False
1369453291936088064,14173315,10679.792027729636,False
1369600439239458820,14173315,22408.49220103986,False
1368785659066941440,2557521,84137.8769239773,False
1369579853612281860,28785486,67808.50922978994,False
1369587331691208706,87818409,3575.6509090909094,False
1369601403686182915,16973333,18259.545454545456,False
1364144723590578176,368276033,82497.17116125482,False
1369985018878169089,28785486,1719145.1457670275,False
1370003953598013450,28785486,305359.8879694462,False
1369610663547518978,16973333,2758.636363636364,False
1369471231448158208,5988062,13623.725581395349,False
1369578871478235143,16973333,11560.0,False
1369382859534897161,28785486,40330.55124124762,False
1370128693662785544,28785486,27921.150859325273,False
1369037711324119046,1367531,53740.22177419355,False
1369271770960850949,5988062,7553.748837209303,False
1369511733975515142,14173315,65985.85788561525,False
1362776603047165957,621583,217.66216216216213,False
1369048387815899139,14293310,17373.176470588234,False
1369355243406954501,807095,12101.445407279029,False
1362074171832958980,11856342,101603.96030245748,False
1369614175048249346,25562270,4349.935483870968,False
1359577321695547392,11856342,22263.473534971647,False
1362085735063572482,11856342,38595.75141776938,False
1369292125641269258,46403451,1107.9545454529602,False
1369458171467591683,1344951,126.65217391304347,False
1365007905318133766,11856342,108652.62759924386,False
1361388306106318857,368276033,86277.56690779349,False
1361701236395958278,368276033,168184.03962575673,False
1366932843067277314,11856342,3782.211720226843,False
1369030160943611907,2557521,380.83601568443845,False
1366709656974942211,368276033,278789.12499143323,False
1364579317964034050,368276033,144746.71809779093,False
1369441382973272064,759251,71459.98959654912,False
1369362392749121542,17602896,4282.908339076498,False
1369030162298400778,15635604,2190.220913107511,False
1363896507242598402,15234657,14408.526315789473,False
1367883861271613441,15234657,8568.947368421053,False
1366963364975452162,82652901,107.99202127659575,False
1369048640111570951,17220817,0.0,False
1166395659500568579,115093611,2460.6572379367717,False
1367559613005004800,18256664,948.0605042016807,False
1353812372331220992,23119425,64.66321243523316,False
1321186362171666432,140845817,3815.7113402061855,False
1342995722761695232,56518880,5995.33247908344,False
1323456695725625344,232010910,2903.2405063291135,False
1240704016046116865,115093611,4242.512479201331,False
1306742315667529729,232010910,6774.227848101265,False
1153306430100910080,23119425,988.7943300491289,False
1324916905954652168,232010910,2734.936708860759,False
1368659881260032001,90057442,1271.5180265654649,False
1256258912866766851,115093611,2290.9567387687184,False
1318297870315839488,140845817,628.4701030927835,False
1180250671905263616,23119425,3378.6528497409327,False
1367521202042933249,16573941,33647.488,False
1367300793485828097,26585095,8307.326732673268,False
1369075493753020420,17602896,856.5816678152996,False
1369075561981566976,17602896,685.2653342522398,False
1303249708169613313,65468720,2922.857142857143,False
1364666742916583427,985916593065476096,47091.0,False
1366443197166096385,26585095,1482.7417316199706,False
1367237010608431106,16573941,565.5039999999999,False
1367894335233142789,43192807,31821.83532369579,False
1324374402750767104,140845817,673.360824742268,False
1363941648812675075,43192807,25981.873035826524,False
