news_id,author_id,social_capital_score,sentiment_enabled
1369343506939019269,759251,1900074.932504441,True
1151160990995746816,180463340,4512362.981191996,True
1343240225129168898,1060978099146260480,405101.75650575606,True
1312476369830338561,1141417774201184257,83568.10012274243,True
1369271796499947520,759251,185306.89317432127,True
1281615412459782145,2412917082,15749.995104895106,True
1324784149241147394,1288485038,741232.0367253252,True
1338474408743215106,1288485038,1514619.313440449,True
1298591876963078146,1288485038,955860.9334353482,True
1189330936300756992,180463340,14738736.074355947,True
1369281593693646851,1367531,41727.70161290323,True
1369388544003895298,5988062,8970.076744186046,True
1369253885932617735,1367531,57112.157258064515,True
1369010885075812352,1367531,162695.88709677418,True
1369523963974549504,87818409,8541.832727272727,True
1369483207935225856,14173315,3575.8232235701903,True
1369439516679942144,87818409,4221.254545454545,True
1370144518100684802,28785486,123650.81094844048,True
1368604102989541376,1367531,67333.3366935484,True
1369460811760988160,28785486,33239.46530872056,True
1369325020258983936,24742040,762944.3408788282,True
1365315820080009221,821102114,1375141.1239487107,True
1344689933978656771,1060978099146260480,129283.97152623264,True
1369375444793954323,807095,14018.506065857884,True
1317842770816602114,715177919438577664,341269.0278493058,True
1336964656792035329,821102114,1356492.80132359,True
1369441796925886465,807095,30912.603119584055,True
1336810117057179649,821102114,1433618.5800818051,True
1369400194513723396,807095,4553.019064124783,True
1365327872643260420,821102114,27627.144629808354,True
1364607745270423556,821102114,16215752.540466014,True
1337077938076979205,821102114,732119.3326899214,True
1354118501653483523,273181052,491.63551401869154,True
1369383214062665731,24742040,7404.10119840213,True
1336793663792406530,821102114,254860.40920998206,True
1369386818169372680,24742040,4077.6209498446515,True
1339525827118194689,1038082275689340928,1853464.3586304272,True
1369372321736232963,24742040,643.8348868175765,True
1367882927384768524,10671602,6152.355814551376,True
1363551492486008834,15234657,952.1052631578947,True
1363564146948665347,34992644,494.99999999658786,True
1369498799673065473,2557521,14650.985544566045,True
1367766039254163458,368276033,140781.64006604292,True
1369453291936088064,14173315,16019.688041594454,True
1369600439239458820,14173315,33612.73830155979,True
1368785659066941440,2557521,42068.93846198865,True
