id,item_id,user_who_published,user_id,ranking,rating,algorithm,date
4.0,1369343506939019269,759251,1.0,1.0,5.0,B1,
4.0,1151160990995746816,180463340,1.0,2.0,5.0,B1,
4.0,1343240225129168898,1060978099146260480,1.0,3.0,5.0,B1,
4.0,1312476369830338561,1141417774201184257,1.0,4.0,4.0,B1,
4.0,1369271796499947520,759251,1.0,5.0,5.0,B1,
4.0,1281615412459782145,2412917082,1.0,6.0,3.0,B1,
4.0,1324784149241147394,1288485038,1.0,7.0,3.0,B1,
4.0,1338474408743215106,1288485038,1.0,8.0,3.0,B1,
4.0,1298591876963078146,1288485038,1.0,9.0,4.0,B1,
4.0,1189330936300756992,180463340,1.0,10.0,5.0,B1,
3.0,1369281593693646851,1367531,1.0,1.0,4.0,CS,
3.0,1369388544003895298,5988062,1.0,2.0,5.0,CS,
3.0,1369253885932617735,1367531,1.0,3.0,3.0,CS,
3.0,1369010885075812352,1367531,1.0,4.0,4.0,CS,
3.0,1369523963974549504,87818409,1.0,5.0,5.0,CS,
3.0,1369483207935225856,14173315,1.0,6.0,3.0,CS,
3.0,1369439516679942144,87818409,1.0,7.0,5.0,CS,
3.0,1370144518100684802,28785486,1.0,8.0,3.0,CS,
3.0,1368604102989541376,1367531,1.0,9.0,4.0,CS,
3.0,1369460811760988160,28785486,1.0,10.0,5.0,CS,
1.0,1369325020258983936,24742040,1.0,1.0,5.0,SC,
1.0,1365315820080009221,821102114,1.0,2.0,4.0,SC,
1.0,1344689933978656771,1060978099146260480,1.0,3.0,5.0,SC,
1.0,1369375444793954323,807095,1.0,4.0,5.0,SC,
1.0,1317842770816602114,715177919438577664,1.0,5.0,3.0,SC,
1.0,1336964656792035329,821102114,1.0,6.0,2.0,SC,
1.0,1369441796925886465,807095,1.0,7.0,3.0,SC,
1.0,1336810117057179649,821102114,1.0,8.0,3.0,SC,
1.0,1369400194513723396,807095,1.0,9.0,4.0,SC,
1.0,1365327872643260420,821102114,1.0,10.0,1.0,SC,
2.0,1364607745270423556,821102114,1.0,1.0,5.0,SCSA,
2.0,1337077938076979205,821102114,1.0,2.0,3.0,SCSA,
2.0,1354118501653483523,273181052,1.0,3.0,1.0,SCSA,
2.0,1369383214062665731,24742040,1.0,4.0,2.0,SCSA,
2.0,1336793663792406530,821102114,1.0,5.0,2.0,SCSA,
2.0,1369386818169372680,24742040,1.0,6.0,5.0,SCSA,
2.0,1339525827118194689,1038082275689340928,1.0,7.0,4.0,SCSA,
2.0,1369372321736232963,24742040,1.0,8.0,1.0,SCSA,
2.0,1367882927384768524,10671602,1.0,9.0,5.0,SCSA,
2.0,1363551492486008834,15234657,1.0,10.0,1.0,SCSA,
8.0,1363564146948665347,34992644,2.0,1.0,5.0,B1,
8.0,1369498799673065473,2557521,2.0,2.0,4.0,B1,
8.0,1367766039254163458,368276033,2.0,3.0,5.0,B1,
8.0,1369453291936088064,14173315,2.0,4.0,4.0,B1,
8.0,1369600439239458820,14173315,2.0,5.0,3.0,B1,
8.0,1368785659066941440,2557521,2.0,6.0,4.0,B1,
8.0,1369579853612281860,28785486,2.0,7.0,4.0,B1,
8.0,1369587331691208706,87818409,2.0,8.0,4.0,B1,
8.0,1369601403686182915,16973333,2.0,9.0,4.0,B1,
8.0,1364144723590578176,368276033,2.0,10.0,4.0,B1,
7.0,1369985018878169089,28785486,2.0,1.0,3.0,CS,
7.0,1370003953598013450,28785486,2.0,2.0,3.0,CS,
7.0,1369610663547518978,16973333,2.0,3.0,4.0,CS,
7.0,1369471231448158208,5988062,2.0,4.0,4.0,CS,
7.0,1369578871478235143,16973333,2.0,5.0,5.0,CS,
7.0,1369382859534897161,28785486,2.0,6.0,3.0,CS,
7.0,1370128693662785544,28785486,2.0,7.0,4.0,CS,
7.0,1369037711324119046,1367531,2.0,8.0,4.0,CS,
7.0,1369271770960850949,5988062,2.0,9.0,3.0,CS,
7.0,1369511733975515142,14173315,2.0,10.0,2.0,CS,
5.0,1369375444793954323,807095,2.0,1.0,3.0,SC,
5.0,1362776603047165957,621583,2.0,2.0,2.0,SC,
5.0,1369441796925886465,807095,2.0,3.0,2.0,SC,
5.0,1369400194513723396,807095,2.0,4.0,4.0,SC,
5.0,1369048387815899139,14293310,2.0,5.0,2.0,SC,
5.0,1369355243406954501,807095,2.0,6.0,2.0,SC,
5.0,1362074171832958980,11856342,2.0,7.0,3.0,SC,
5.0,1369614175048249346,25562270,2.0,8.0,4.0,SC,
5.0,1359577321695547392,11856342,2.0,9.0,3.0,SC,
5.0,1362085735063572482,11856342,2.0,10.0,3.0,SC,
6.0,1369292125641269258,46403451,2.0,1.0,4.0,SCSA,
6.0,1369458171467591683,1344951,2.0,2.0,3.0,SCSA,
6.0,1365007905318133766,11856342,2.0,3.0,4.0,SCSA,
6.0,1361388306106318857,368276033,2.0,4.0,4.0,SCSA,
6.0,1361701236395958278,368276033,2.0,5.0,4.0,SCSA,
6.0,1366932843067277314,11856342,2.0,6.0,3.0,SCSA,
6.0,1369030160943611907,2557521,2.0,7.0,4.0,SCSA,
6.0,1366709656974942211,368276033,2.0,8.0,5.0,SCSA,
6.0,1364579317964034050,368276033,2.0,9.0,5.0,SCSA,
6.0,1369441382973272064,759251,2.0,10.0,4.0,SCSA,
12.0,1369362392749121542,17602896,3.0,1.0,2.0,B1,
12.0,1369030162298400778,15635604,3.0,2.0,2.0,B1,
12.0,1363896507242598402,15234657,3.0,3.0,4.0,B1,
12.0,1367883861271613441,15234657,3.0,4.0,5.0,B1,
12.0,1366963364975452162,82652901,3.0,5.0,2.0,B1,
12.0,1369048640111570951,17220817,3.0,6.0,2.0,B1,
12.0,1166395659500568579,115093611,3.0,7.0,2.0,B1,
12.0,1367559613005004800,18256664,3.0,8.0,2.0,B1,
12.0,1353812372331220992,23119425,3.0,9.0,2.0,B1,
12.0,1321186362171666432,140845817,3.0,10.0,1.0,B1,
11.0,1342995722761695232,56518880,3.0,1.0,2.0,CS,
11.0,1323456695725625344,232010910,3.0,2.0,3.0,CS,
11.0,1240704016046116865,115093611,3.0,3.0,4.0,CS,
11.0,1306742315667529729,232010910,3.0,4.0,3.0,CS,
11.0,1153306430100910080,23119425,3.0,5.0,3.0,CS,
11.0,1324916905954652168,232010910,3.0,6.0,3.0,CS,
11.0,1368659881260032001,90057442,3.0,7.0,3.0,CS,
11.0,1256258912866766851,115093611,3.0,8.0,4.0,CS,
11.0,1318297870315839488,140845817,3.0,9.0,2.0,CS,
11.0,1180250671905263616,23119425,3.0,10.0,2.0,CS,
9.0,1367521202042933249,16573941,3.0,1.0,5.0,SC,
9.0,1369325020258983936,24742040,3.0,2.0,3.0,SC,
9.0,1365315820080009221,821102114,3.0,3.0,4.0,SC,
9.0,1367300793485828097,26585095,3.0,4.0,3.0,SC,
9.0,1369075493753020420,17602896,3.0,5.0,2.0,SC,
9.0,1369075561981566976,17602896,3.0,6.0,2.0,SC,
9.0,1303249708169613313,65468720,3.0,7.0,2.0,SC,
9.0,1364666742916583427,985916593065476096,3.0,8.0,3.0,SC,
9.0,1366443197166096385,26585095,3.0,9.0,4.0,SC,
9.0,1367237010608431106,16573941,3.0,10.0,3.0,SC,
10.0,1367894335233142789,43192807,3.0,1.0,3.0,SCSA,
10.0,1324374402750767104,140845817,3.0,2.0,5.0,SCSA,
10.0,1364607745270423556,821102114,3.0,3.0,2.0,SCSA,
10.0,1363941648812675075,43192807,3.0,4.0,4.0,SCSA,
10.0,1365327872643260420,821102114,3.0,5.0,3.0,SCSA,
10.0,1337077938076979205,821102114,3.0,6.0,3.0,SCSA,
10.0,1369383214062665731,24742040,3.0,7.0,3.0,SCSA,
10.0,1336793663792406530,821102114,3.0,8.0,3.0,SCSA,
10.0,1367315410106736640,82652901,3.0,9.0,3.0,SCSA,
10.0,1368286394792046596,82652901,3.0,10.0,3.0,SCSA,
17.0,1369343506939019269,759251,4.0,1.0,5.0,B1,
17.0,1369959855692337152,28785486,4.0,2.0,1.0,B1,
17.0,1352325551621595136,19110632,4.0,3.0,2.0,B1,
17.0,1369598009084887043,15808647,4.0,4.0,5.0,B1,
17.0,1368835740529000449,15808647,4.0,5.0,5.0,B1,
17.0,1369397597421645834,807095,4.0,6.0,5.0,B1,
17.0,1370128693662785544,28785486,4.0,7.0,5.0,B1,
17.0,1369242094217404419,14293310,4.0,8.0,5.0,B1,
17.0,1369453291936088064,14173315,4.0,9.0,4.0,B1,
17.0,1369552733536219138,1344951,4.0,10.0,4.0,B1,
15.0,1369113689845022721,14293310,4.0,1.0,2.0,CS,
15.0,1369456737070313476,807095,4.0,2.0,2.0,CS,
