diversity_score,sentiment_score,reply_count,author_id,domains,quote_count,retweet_count,tokens,entities,urls,context_score,like_count,impression_count,item_id,created_at,hashtags,mentions,recency_score
0.9090909090909092,-0.2275257408618927,0.00011344513982113482,87818409,{'Notícias'},0.0,0.00022461126935996,"{'straightaway', 'hither', 'twelvemonth', 'industriousness', 'pauperization', 'since', 'substantiate', 'anatolitis', 'endorsement', 'lockdown'}",{'Do Mundo'},{'https://t.co/6xahy3v1ty'},0.191023168234983,6.627859407103694e-05,0.00010108375081303294,1369523963974549504,2021-03-10 05:42:12+00:00,,,0.9499253513511797
1.0,-0.1469333469867706,0.0005861332224091966,14173315,{'Notícias'},0.00013742398735699316,0.00010209603152725454,"{'nowadays', 'democrat', 'ketteler', 'substantiate', 'judi', 'exclusively', 'merely'}",{'Do Mundo'},{'https://t.co/vyfrqmryw1'},0.1917285543466312,3.885296893819407e-05,0.00021612655255790958,1369483207935225856,2021-03-10 03:00:15+00:00,,{'905416143313219584'},0.9467257435029779
1.0,-0.2010569274425506,0.00011344513982113482,87818409,{'Notícias'},3.435599683924829e-05,0.00031649769773448906,"{'unrecorded', 'stagecoach', 'destruction', 'without', 'coronavirus', 'overseas'}",{'Do Mundo'},{'https://t.co/5uhzeowxjd'},0.2070875086304436,5.4851250265685746e-05,0.0001297875211651395,1369439516679942144,2021-03-10 00:06:38+00:00,,,0.9433076087866911
1.0,-0.1675083339214325,0.00041596551267749434,28785486,{'Notícias'},0.0003435599683924829,0.00033691690403994,"{'daylight', 'senator', 'approximately', 'substantiate', 'along'}",{'Do Mundo'},{'https://t.co/szmxgwm26d'},0.1558826683471759,0.00014969820385010067,0.00031153514724000447,1370144518100684802,2021-03-11 22:48:03+00:00,,,1.0
1.0,0.0284115374088287,0.0003403354194634045,1367531,{'Notícias'},0.00010306799051774487,0.00022461126935996,"{'identical', 'chakiris', 'favourable', 'marilyn', 'commemorate', 'natalie', 'workplace'}",{'Do Mundo'},{'https://t.co/wbge9onm0u'},0.2026263663705222,0.00019769304783257572,0.00021642693179342126,1368604102989541376,2021-03-07 16:47:00+00:00,,,0.8802741596263652
1.0,-0.1342864036560058,0.0,28785486,{'Notícias'},0.0,0.0005104801576362727,"{'biden', 'pres', 'substantiate', 'rt', 'endorsement'}",{'Do Mundo'},,0.1472379088724544,0.0,0.0001276200394090682,1369460811760988160,2021-03-10 01:31:15+00:00,,{'86141342'},0.9449719825718722
0.9090909090909092,-0.1157717406749725,0.0007373934088373763,24742040,{'Entretenimento'},3.435599683924829e-05,0.0007963490459125854,"{'instrumentalist', 'workplace', 'completely', 'bathroom', 'nowadays', 'unbelievable', 'approximately', 'bethesda', 'along', 'galvanize'}",{'Games'},,0.1205682985453541,0.002574580559345625,0.0010356697527337086,1369325020258983936,2021-03-09 16:31:40+00:00,,{'532406707'},0.9344087343109311
0.9090909090909092,-0.1081195175647735,0.001039913781693736,821102114,{'Entretenimento'},6.871199367849658e-05,0.00038796491980356727,"{'congrats', 'via', 'certain', 'succeeder', 'completely', 'photograph', 'showcasing', 'substantiate', 'squeamish', 'inboxes'}",{'Games'},,0.1227497294409011,0.002168909854255657,0.0009163751373578643,1365315820080009221,2021-02-26 15:00:32+00:00,,,0.6704943984684992
0.0,0.0,0.0007941159787479438,1060978099146260480,{'Entretenimento'},0.0008588999209812073,0.0022971607093632274,,{'Séries de TV'},{'https://t.co/3mvniexa8f'},0.0,0.0029836794675771974,0.001733464019167394,1344689933978656771,2020-12-31 17:00:38+00:00,{'moffgideon'},,0.12157330713705938
0.7272727272727273,-0.1550205051898956,0.00015126018642817976,807095,{'Notícias'},0.00013742398735699316,0.0003981745229562927,"{'disadvantage', 'convalescence', 'economical', 'crisis', 'hindquarters', 'substantiate', 'already', 'fastened'}",{'Do Mundo'},"{'https://t.co/ofv3dwtbcb', 'https://t.co/8f34v70pnu'}",0.1389294145906989,7.999140663745838e-05,0.00019171252584473098,1369375444793954323,2021-03-09 19:52:02+00:00,,,0.9383173941763786
